小区名称,行政区,朝向,房屋配置,面积（㎡）,总价（万）,均价(平),楼层,建筑年份,周边,小区地址
羽北小区,浦东区,南,2室1厅1卫,67.22,520,77358,中层(共6层),1998年建造,洋泾,"张杨路1698弄,巨野路482弄,张杨路1662弄,张杨路1734弄,民生路729号"
崮山小区三街坊,浦东区,南,2室1厅1卫,63,470,74604,中层(共6层),1998年建造,洋泾,羽山路1446弄
星颂家园,浦东区,南北,3室2厅1卫,98.23,353,35937,低层(共24层),2015年建造,曹路,海松路52弄
济阳三村,浦东区,南北,2室2厅1卫,55.91,236.6,42319,低层(共6层),1996年建造,世博,"济阳路65弄,耀华路550弄,德州路465弄,西营路114弄"
永泰花苑,浦东区,南北,2室2厅1卫,83.78,430,51325,高层(共18层),2015年建造,三林,永泰路630弄
中邦大都会,浦东区,南,3室2厅2卫,127.55,800,62721,低层(共18层),2016年建造,康桥,康沈路633弄
德州五村,浦东区,南北,2室1厅1卫,48.19,245.1,50862,高层(共6层),1996年建造,上南,"德州路230弄,德州路220弄,德州路210弄,灵岩路79弄"
永泰花苑,浦东区,南北,2室2厅1卫,84.5,420,49705,中层(共11层),2010年建造,三林,永泰路630弄
川杨新苑(四期),浦东区,南,2室2厅1卫,87.92,399,45383,高层(共6层),2010年建造,张江,中科路2660弄
同方锦城(二期),浦东区,南北,2室2厅2卫,115.44,698,60465,中层(共8层),2005年建造,金桥,张杨北路555弄
维多利华庭,浦东区,南北,2室2厅1卫,97.94,899,91791,低层(共14层),2006年建造,洋泾,苗圃路218弄
金桥好人家,浦东区,南,2室2厅1卫,82.84,538,64945,中层(共6层),2001年建造,金桥,荷泽路418弄
东方城市花园(二期),浦东区,南北,2室2厅2卫,122.16,999,81778,中层(共24层),2005年建造,南码头,东方路1881弄
粤亮湾景苑,浦东区,南,2室1厅1卫,86.53,360,41605,高层(共12层),2017年建造,周浦,周市路39弄
春江花悦园,浦东区,南北,3室2厅2卫,115.64,750,64857,高层(共13层),2007年建造,金桥,金高路988弄
金领国际(公寓住宅),浦东区,南北,2室1厅1卫,92.64,400,43178,中层(共11层),2009年建造,唐镇,川沙路1666弄
鹤沙航城汇贤雅苑,浦东区,南北,2室1厅1卫,71.46,195,27288,高层(共18层),2013年建造,航头,鹤永路751弄1-20号
上南花城,浦东区,南,3室2厅2卫,63.25,435,68775,高层(共6层),2005年建造,世博,"耀华路87弄,耀华路85弄1-10号"
高申北苑,浦东区,南北,2室2厅1卫,85.61,420,49060,高层(共18层),2018年建造,高行,思学路165弄
金舍苑(金桥新城四期),浦东区,南,2室2厅1卫,91.1,588,64545,高层(共6层),2005年建造,金桥,金高路2131弄
金钻苑(北区421弄),浦东区,南北,2室2厅1卫,81.85,293,35798,中层(共6层),2009年建造,曹路,海松路421弄1-92号
民乐城惠康苑北苑,浦东区,南北,2室2厅1卫,58.43,110,18826,中层(共18层),2018年建造,惠南,拱海路79弄1-38号
崮山小区四街坊,浦东区,南北,3室2厅1卫,81.09,560,69060,中层(共6层),1997年建造,洋泾,羽山路1445弄
金和佳园,浦东区,南,2室2厅1卫,86.74,520,59950,高层(共6层),2004年建造,金桥,胶东路818弄1-39号
三林苑,浦东区,南北,2室2厅1卫,71.1,325,45711,低层(共6层),1998年建造,三林,"三林路1466弄1-106号,永泰路1129弄1-95号"
世华锦城,浦东区,南,3室1厅1卫,100.96,622,61609,高层(共18层),2008年建造,杨思,杨思路860弄
绿地崴廉公寓,浦东区,南北,3室2厅2卫,121.03,715,59077,高层(共11层),2010年建造,高行,东靖路2250弄
三林安居苑,浦东区,南北,2室1厅1卫,63.9,300,46949,低层(共6层),1998年建造,三林,三林路1662弄1-173号
锦华东南苑,浦东区,南,2室2厅1卫,96.12,730,75947,低层(共14层),2004年建造,北蔡,成山路2222弄
东方悦居苑,浦东区,南北,2室1厅1卫,72,428,59445,高层(共18层),2008年建造,杨思,杨思路1121弄
龚路新城,浦东区,南北,1室1厅1卫,54.16,170,31389,中层(共6层),2005年建造,曹路,龚华路479弄
大华斐勒公园(北艾路1643弄),浦东区,南,2室2厅1卫,93.19,1150,123404,低层(共17层),2019年建造,世博,北艾路1643弄
金海华城悦虹雅苑,浦东区,南北,3室1厅1卫,107.63,435,40417,低层(共17层),2020年建造,曹路,海鹏路380弄
保利艾庐,浦东区,南北,3室2厅1卫,86.6,380,43880,高层(共18层),2017年建造,周浦,蓝靛路1688弄
海尚东苑,浦东区,南北,3室2厅2卫,116.38,460,39526,中层(共18层),2011年建造,曹路,金睦路353弄
东方悦居苑,浦东区,南北,3室1厅1卫,94.81,560,59066,高层(共15层),2008年建造,杨思,杨思路1121弄
汤臣商务中心,浦东区,南北,3室2厅3卫,48.74,285,58474,高层(共29层),2014年建造,陆家嘴,"张杨路158,188,228号"
金群苑(南区),浦东区,南北,2室1厅1卫,78,300,38462,中层(共18层),2015年建造,曹路,金钻路398弄1-41号
罗山八村,浦东区,南北,3室1厅1卫,93.21,555,59543,中层(共6层),1998年建造,金杨新村,"博山东路128弄,德平路215弄1-55号"
大华锦绣华城十一街区,浦东区,南北,2室2厅2卫,100.1,920,91909,中层(共8层),2012年建造,北蔡,北艾路1077弄
汤臣商务中心,浦东区,南北,2室2厅1卫,63.22,400,63272,中层(共16层),2019年建造,陆家嘴,"张杨路158,188,228号"
阳光城愉景湾,浦东区,南北,3室2厅2卫,111.64,533.6,47797,低层(共17层),2016年建造,川沙,妙川路800弄
金杨新村五街坊,浦东区,南北,2室1厅1卫,58.18,245,42111,中层(共7层),1999年建造,金杨新村,"银山路115弄,云山路1395弄,金杨路308弄,金杨路220弄"
金谊河畔,浦东区,南,2室2厅1卫,107.85,858,79555,高层(共17层),2009年建造,三林,永泰路595弄
星海家园,浦东区,南北,3室2厅1卫,112.7,450,39930,中层(共24层),2012年建造,曹路,海容路399弄
东方悦居苑,浦东区,南北,2室1厅1卫,72.92,470,64455,高层(共18层),2008年建造,杨思,杨思路1121弄
南泉大楼,浦东区,南北,2室2厅1卫,94.1,668,70989,中层(共24层),1997年建造,潍坊新村,浦电路138弄
金樟花苑,浦东区,南北,3室1厅1卫,92.36,530,57385,中层(共6层),1995年建造,金杨新村,栖山路1555弄1-34号
汤臣商务中心,浦东区,南,3室2厅2卫,48.6,314,64610,高层(共28层),2020年建造,陆家嘴,"张杨路158,188,228号"
贝越流明新苑,浦东区,南北,2室2厅1卫,103.26,380,36801,低层(共6层),2002年建造,张江,广兰路1155弄
上南翡翠(公寓住宅),浦东区,南北,3室2厅2卫,130.4,850,65185,中层(共12层),2017年建造,三林,杨南路399弄
申江豪城,浦东区,南北,2室2厅2卫,114.46,700,61157,高层(共14层),2004年建造,杨思,杨思路855弄1-88号
东陆新村三街坊,浦东区,南,2室2厅1卫,84.52,339,40109,高层(共6层),1996年建造,金桥,凌河路188弄
上南六村,浦东区,南,2室1厅1卫,50.61,265,52362,中层(共6层),1986年建造,世博,"齐河路12-48号(双),齐河路10弄,齐河路28弄,上南六村"
紫竹馨苑,浦东区,南北,3室2厅2卫,138.04,955,69183,中层(共8层),2003年建造,世博滨江,南码头路1378弄
通联苑(二期),浦东区,南北,2室1厅1卫,97.47,720,73869,高层(共9层),2002年建造,金杨新村,博山东路188弄
光鸿苑(245弄),浦东区,南,2室2厅1卫,86.9,610,70196,共5层,2001年建造,南码头,东三里桥路245弄1-18号
金海华城永华苑,浦东区,南北,2室2厅1卫,84.8,278,32784,中层(共18层),2014年建造,曹路,龚华路35弄
玉兰香苑(一期B区),浦东区,南,2室2厅2卫,94.12,550,58437,低层(共6层),2004年建造,张江,益江路126弄1-112号
印象春城,浦东区,南北,2室2厅1卫,88.19,435,49326,中层(共14层),2010年建造,周浦,年家浜东路129弄1-78号
万科海上传奇(一二期),浦东区,南北,3室2厅2卫,127.15,1280,100669,高层(共27层),2015年建造,御桥,御桥路1679弄1-38号
上南七村,浦东区,南北,2室1厅1卫,51.42,255,49592,中层(共6层),1985年建造,世博,"昌里路98弄,上南七村1-132号,昌里路100-110号(双)"
阳光二村,浦东区,南北,2室1厅1卫,60,370,61667,高层(共6层),1981年建造,洋泾,"阳光二村1-20号,23-26号"
上南二村(1-92号),浦东区,南北,2室1厅1卫,50.34,285,56616,中层(共6层),1995年建造,世博,"上南二村1号,14-92号"
汤臣商务中心,浦东区,南北,2室2厅1卫,70.37,300,42632,高层(共20层),2019年建造,陆家嘴,"张杨路158,188,228号"
恒大翰城瀚林苑(公寓住宅),浦东区,南北,4室2厅2卫,129.08,868,67246,高层(共6层),2004年建造,三林,上南路3899弄
欧风家园(北区),浦东区,南北,2室1厅1卫,71.18,273,38354,共5层,2006年建造,周浦,瑞浦路77弄1-67号
御沁园(东区公寓住宅),浦东区,南,3室2厅2卫,158,958,60633,高层(共21层),2013年建造,周浦,周康路869弄
万科金色雅筑,浦东区,南北,3室2厅1卫,89.58,739,82497,低层(共11层),2007年建造,三林,三林路1300弄1-63号
东波苑二街坊,浦东区,南,3室1厅1卫,91.85,378,41155,高层(共6层),1998年建造,金桥,东波路49弄
昌七小区,浦东区,南北,2室1厅1卫,62.78,340,54158,低层(共6层),1997年建造,世博,"成山路1035弄,成山路963弄,南码头路1675弄,南码头路1621弄"
凯旋汇,浦东区,南,2室2厅2卫,116,350,30173,中层(共20层),2008年建造,东昌路站,张杨路98号
昌里花园,浦东区,南,2室2厅1卫,94.41,598,63341,低层(共13层),2003年建造,世博,"昌里东路71弄,云莲路398弄,云台路183弄"
巨东小区,浦东区,南北,2室1厅1卫,51.69,365,70614,低层(共6层),1994年建造,洋泾,"羽山路801弄,张杨路1776弄,苗圃路463弄,巨野路469弄"
浦江东旭公寓(东区),浦东区,南,3室2厅1卫,93.94,495,52694,高层(共7层),2007年建造,高行,东靖路669弄1-109号
金桥瑞仕花园,浦东区,南北,2室2厅2卫,117.39,1200,102224,高层(共20层),2007年建造,金杨新村,枣庄路399弄
谢家宅小区,浦东区,南北,2室1厅1卫,54.73,310,56642,高层(共6层),1986年建造,陆家嘴,"浦电路48弄1-20号,浦电路62弄1-11号,浦电路44-52号(双)"
潼港二村,浦东区,南,2室2厅1卫,91.87,316,34397,高层(共6层),1999年建造,高桥,"大同路688弄,清溪路299弄"
