小区名称,行政区,朝向,房屋配置,面积（㎡）,总价（万）,均价(平),楼层,建筑年份,周边,小区地址
桂花锦苑,松江区,南,2室1厅1卫,71.81,180,25067,中层(共14层),2016年建造,泗泾,泽悦路88弄
珠江新城,松江区,南,2室2厅1卫,99.09,310,31285,中层(共11层),2004年建造,松江新城,文诚路888弄
绿地海珀佘山(公寓住宅),松江区,南,2室2厅1卫,68.51,185,27004,高层(共6层),2015年建造,佘山,九江公路159弄
翔昆苑,松江区,南北,2室1厅1卫,68.21,141,20672,高层(共11层),2016年建造,小昆山,翔昆路150弄
塘和家园君康苑,松江区,南北,2室1厅1卫,66.5,140,21053,中层(共18层),2019年建造,泗泾,道悦路55弄
欧洲城(松江),松江区,南北,2室2厅2卫,210,370,17620,中层(共16层),2019年建造,泗泾,莘砖公路3998弄
塘和家园顺康苑,松江区,南,2室1厅1卫,74.33,210,28253,高层(共26层),2018年建造,洞泾,王家厍路199弄
塘和家园德悦苑,松江区,南北,2室2厅1卫,66.43,150,22581,低层(共18层),2015年建造,泗泾,德悦路501弄
文晋苑,松江区,南北,2室1厅1卫,61.23,138,22538,中层(共11层),2015年建造,小昆山,平原街699弄
万宇阳光苑,松江区,南北,2室1厅1卫,64.86,162,24977,中层(共18层),2009年建造,新桥,新南街301弄
塘和家园君康苑,松江区,南北,2室1厅1卫,66.79,150,22459,中层(共18层),2019年建造,泗泾,道悦路55弄
松南城云珠雅苑,松江区,南北,2室1厅1卫,47.2,50,10594,中层(共12层),2015年建造,车墩,银圩路365弄
牡丹逸庭,松江区,南北,2室1厅1卫,76.68,190,24779,低层(共14层),2014年建造,泗泾,泽悦路326弄
新源人家,松江区,南北,2室2厅1卫,78.92,100,12672,中层(共6层),2017年建造,叶榭,叶校路355弄
九亭家园,松江区,南北,2室2厅1卫,54.1,149.5,27635,高层(共17层),2015年建造,九亭,沪亭南路1059弄
松南城云珠雅苑,松江区,南北,3室1厅1卫,75,78.8,10507,高层(共11层),2017年建造,车墩,银圩路365弄
松南城华顺苑,松江区,南北,2室2厅1卫,52,98,18847,中层(共11层),2017年建造,车墩,欣浪路1028弄
蓝天新村,松江区,南北,2室2厅1卫,77.62,179,23062,高层(共6层),1998年建造,松江老城,蓝天新村140-334号
松江世纪花苑一村,松江区,南北,3室2厅2卫,78,101,12949,中层(共6层),2010年建造,叶榭,叶政路518弄
松江环城新村,松江区,南,2室1厅1卫,63.75,155,24314,低层(共6层),1998年建造,松江老城,松江环城新村1-89号
华亭新家银杏苑,松江区,南,1室1厅1卫,57,165,28948,中层(共10层),2006年建造,松江新城,乐都西路1455弄
牡丹逸庭,松江区,南北,2室1厅1卫,76.97,187,24296,中层(共14层),2013年建造,泗泾,泽悦路326弄
雅鹿新苑(四期),松江区,南北,1室1厅1卫,54.46,156,28645,高层(共18层),2017年建造,新桥,明中路1800弄40-72号
镇南小区(松江),松江区,南北,3室1厅1卫,56,97,17322,中层(共6层),2010年建造,叶榭,镇南路
亚龙华泽新苑,松江区,南北,2室1厅1卫,73.7,202,27409,中层(共18层),2007年建造,新桥,新南街299弄1-13号
松南城云珠雅苑,松江区,南,2室1厅1卫,47.6,50,10505,中层(共12层),2019年建造,车墩,银圩路365弄
翔昆苑,松江区,南北,2室1厅1卫,68.21,139,20379,中层(共11层),2016年建造,小昆山,翔昆路150弄
松南城云珠雅苑,松江区,南北,2室2厅1卫,70.4,74,10512,低层(共17层),2016年建造,车墩,银圩路365弄
凤凰小区,松江区,南北,3室1厅1卫,65,152,23385,低层(共6层),2000年建造,松江老城,"谷阳北路201-207号(单号),谷阳北路199弄,乐都路233弄,乐都支路4-80号(双号),乐都支路2弄,凤凰新村"
松南城云珠雅苑,松江区,南北,2室1厅1卫,49,50.5,10300,中层(共19层),2018年建造,车墩,银圩路365弄
紫金花园(公寓住宅),松江区,南北,2室2厅1卫,99.45,368,37004,低层(共11层),2006年建造,九亭,沪亭南路208弄
祥东小区(松江),松江区,南北,2室2厅1卫,77.12,128,16598,中层(共6层),1996年建造,车墩,车峰路199弄
松南城蔷薇苑,松江区,南,1室1厅1卫,54,115,21297,中层(共17层),2019年建造,车墩,银圩路199弄
万科红人馆,松江区,南北,2室2厅1卫,46,80,17392,共5层,2012年建造,松江老城,仓华路675弄
晨星东区,松江区,南北,2室2厅1卫,53.97,131.5,24366,高层(共11层),2014年建造,新桥,新飞路1751弄
九峰新村,松江区,南北,2室1厅1卫,73,173,23699,低层(共6层),1998年建造,松江老城,九峰新村1-203号
庐秀新苑(西区),松江区,南北,2室1厅1卫,67.52,158,23401,中层(共6层),2018年建造,松江老城,南埭路185弄
松南城云珠雅苑,松江区,南北,2室2厅1卫,74.22,76.8,10348,中层(共11层),2017年建造,车墩,银圩路365弄
文晋苑,松江区,南,2室2厅1卫,61.23,121,19762,中层(共12层),2013年建造,小昆山,平原街699弄
凤凰小区,松江区,南,2室1厅1卫,51,148,29020,低层(共6层),2000年建造,松江老城,"谷阳北路201-207号(单号),谷阳北路199弄,乐都路233弄,乐都支路4-80号(双号),乐都支路2弄,凤凰新村"
松南城云珠雅苑,松江区,南北,2室2厅1卫,74.36,77,10356,中层(共13层),2016年建造,车墩,银圩路365弄
松南城云珠雅苑,松江区,南北,2室2厅1卫,75.29,79.1,10507,中层(共11层),2017年建造,车墩,银圩路365弄
翔昆苑,松江区,南北,2室2厅1卫,61.23,125,20415,低层(共15层),2015年建造,小昆山,翔昆路150弄
路劲佘山院子西园(公寓住宅),松江区,南北,2室2厅1卫,70.62,167.7,23744,高层(共11层),2015年建造,小昆山,崇南公路599弄
新源人家,松江区,南北,2室2厅1卫,79.92,101.2,12666,中层(共6层),2010年建造,叶榭,叶校路355弄
祥东小区(松江),松江区,南北,2室2厅1卫,60.14,108,17959,中层(共6层),2015年建造,车墩,车峰路199弄
祥峰家园,松江区,南北,2室2厅1卫,62,115,18549,高层(共7层),2015年建造,车墩,车峰路158弄
华亭荣园,松江区,南北,2室1厅1卫,70.84,181,25551,高层(共11层),2012年建造,松江老城,荣乐西路600弄
亭汇花苑,松江区,南,3室2厅2卫,126.94,529,41674,共5层,2002年建造,九亭,沪松公路1480弄
贝尚湾(公寓住宅),松江区,南,3室2厅1卫,114.62,680,59327,高层(共15层),2013年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南,2室2厅1卫,87.94,599,68115,高层(共16层),2012年建造,九亭,沪亭北路338弄
绿庭尚城,松江区,南北,2室2厅2卫,94.37,378,40056,中层(共27层),2013年建造,九亭,涞寅路658弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,114.03,778,68228,中层(共15层),2012年建造,九亭,沪亭北路338弄
象屿名城,松江区,南,3室2厅1卫,88.72,430,48468,高层(共14层),2011年建造,九亭,伴亭路888弄1-32号
上海奥林匹克花园(北区),松江区,南,3室2厅2卫,135.01,513,37998,低层(共16层),2006年建造,九亭,涞寅路106弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,115.17,705,61214,中层(共18层),2009年建造,松江大学城,广富林路1599弄
绿庭尚城,松江区,南,2室1厅2卫,103.45,436,42146,低层(共27层),2013年建造,九亭,涞寅路658弄
合景天悦,松江区,南北,3室2厅2卫,99,570,57576,中层(共13层),2019年建造,松江大学城,龙马路433弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,87.17,512,58736,高层(共17层),2015年建造,九亭,沪亭北路338弄
保利西子湾,松江区,南,3室2厅1卫,112.72,630,55891,高层(共14层),2010年建造,松江大学城,广富林路1188弄
保利西子湾,松江区,南,3室2厅1卫,111.16,620,55776,高层(共14层),2010年建造,松江大学城,广富林路1188弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,132.43,728,54973,中层(共14层),2009年建造,松江大学城,广富林路1599弄
复地九月,松江区,南北,3室2厅2卫,135,745,55186,高层(共20层),2021年建造,九亭,九新公路218弄
三湘四季花城(二三四期),松江区,南,3室2厅2卫,129.29,698,53988,高层(共18层),2009年建造,松江大学城,广富林路1599弄
上海奥林匹克花园(北区),松江区,南,2室2厅1卫,82.93,388,46787,共5层,2006年建造,九亭,涞寅路106弄
天宝恬苑,松江区,南北,2室2厅1卫,88,318,36137,低层(共6层),2003年建造,九亭,沪亭路71弄1-57号
合景天悦,松江区,南北,3室2厅2卫,99.93,585,58541,高层(共14层),2019年建造,松江大学城,龙马路433弄
亭汇花苑,松江区,南北,2室2厅1卫,96.32,455,47239,共5层,2002年建造,九亭,沪松公路1480弄
合景天悦,松江区,南北,3室2厅2卫,121,800,66116,低层(共18层),2000年建造,松江大学城,龙马路433弄
金地玺悦,松江区,南,3室2厅2卫,93.81,568,60548,高层(共16层),2020年建造,泗泾,"泗通路66弄1-10号,泗通路88弄1-6号"
贝尚湾(公寓住宅),松江区,南,2室2厅1卫,87.59,598,68273,中层(共16层),2012年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南,3室2厅1卫,114.37,688,60156,中层(共18层),2013年建造,九亭,沪亭北路338弄
三湘四季花城(二三四期),松江区,南,3室2厅2卫,133.02,698,52474,低层(共18层),2009年建造,松江大学城,广富林路1599弄
绿庭尚城,松江区,南,3室2厅1卫,88.72,396,44635,低层(共24层),2013年建造,九亭,涞寅路658弄
九城湖滨,松江区,南,3室2厅2卫,129.92,668,51417,高层(共14层),2009年建造,九亭,沪亭北路618弄
三湘四季花城(二三四期),松江区,南北,3室2厅1卫,107.9,629,58295,中层(共14层),2009年建造,松江大学城,广富林路1599弄
摩卡小城开心公寓,松江区,南,2室2厅1卫,90.26,409,45314,中层(共13层),2010年建造,九亭,九杜路505弄
三湘四季花城(二三四期),松江区,南,3室2厅2卫,138.84,758,54596,中层(共14层),2009年建造,松江大学城,广富林路1599弄
三湘四季花城(二三四期),松江区,南,3室1厅1卫,113.23,548,48398,中层(共18层),2009年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,113.94,655,57487,中层(共17层),2010年建造,九亭,沪亭北路338弄
志成花苑知雅汇(公寓住宅),松江区,南,3室2厅1卫,114.47,508,44379,低层(共14层),2006年建造,九亭,涞坊路333弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,89.12,565,63398,低层(共16层),2009年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,88.56,548,61879,中层(共16层),2012年建造,九亭,沪亭北路338弄
摩卡小城开心公寓,松江区,南北,3室2厅0卫,181.54,788,43407,高层(共13层),2010年建造,九亭,九杜路505弄
绿地蔷薇九里(别墅),松江区,南北,5室2厅4卫,130,800,61539,共3层,2010年建造,松江大学城,广富林路1518弄
三湘四季花城(二三四期),松江区,南,3室2厅1卫,113.23,549,48486,高层(共18层),2009年建造,松江大学城,广富林路1599弄
上坤红树湾,松江区,南北,3室2厅1卫,96.14,608,63242,高层(共14层),2016年建造,松江大学城,光星路1855弄
合景天悦,松江区,南北,4室2厅2卫,121,780,64463,低层(共18层),2018年建造,松江大学城,龙马路433弄
九城湖滨,松江区,南北,3室2厅2卫,130.1,739,56803,中层(共14层),2009年建造,九亭,沪亭北路618弄
信达蓝爵,松江区,南,3室2厅2卫,126.44,699,55284,高层(共18层),2015年建造,松江大学城,淡家浜街99弄
三湘四季花城(二三四期),松江区,南北,4室3厅2卫,106.16,720,67823,低层(共14层),2009年建造,松江大学城,广富林路1599弄
信达蓝爵,松江区,南,2室2厅1卫,81.1,448,55241,中层(共22层),2015年建造,松江大学城,淡家浜街99弄
上坤红树湾,松江区,南北,3室2厅1卫,96.14,578,60121,低层(共14层),2016年建造,松江大学城,光星路1855弄
上海奥林匹克花园(南区),松江区,南,3室2厅2卫,106.01,488,46034,共5层,2002年建造,九亭,涞亭北路99弄
象屿虹桥悦府,松江区,南,3室2厅2卫,96.22,639,66411,高层(共14层),2019年建造,九亭,伴亭路855弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,129.85,799,61533,低层(共11层),2008年建造,九亭,沪亭北路338弄
保利西子湾,松江区,南,3室2厅2卫,137.54,729,53003,中层(共14层),2010年建造,松江大学城,广富林路1188弄
三湘四季花城(二三四期),松江区,南,3室2厅2卫,132.43,728,54973,高层(共14层),2009年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,117.53,740,62963,中层(共14层),2010年建造,九亭,沪亭北路338弄
金地玺湾,松江区,南,3室2厅1卫,89.82,500,55667,高层(共18层),2018年建造,泗泾,泗宝路458弄
泗水和鸣苑,松江区,南北,3室2厅2卫,97.83,568,58060,中层(共16层),2019年建造,泗泾,恒泽路58弄
保利西子湾,松江区,南,2室2厅1卫,90.49,409,45199,中层(共14层),2010年建造,松江大学城,广富林路1188弄
保利西子湾,松江区,南,4室2厅2卫,140.56,750,53358,低层(共18层),2010年建造,松江大学城,广富林路1188弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,132.43,800,60410,低层(共14层),2009年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,114.03,688,60335,高层(共16层),2016年建造,九亭,沪亭北路338弄
绿地蔷薇九里(别墅),松江区,南北,4室2厅2卫,131,798,60917,共3层,2010年建造,松江大学城,广富林路1518弄
三湘四季花城(二三四期),松江区,南,2室2厅2卫,109.24,586,53644,低层(共18层),2009年建造,松江大学城,广富林路1599弄
9号公馆(泗通路),松江区,南,3室2厅2卫,98.09,518,52809,低层(共14层),2022年建造,泗泾,泗通路600弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,132.43,628,47422,低层(共14层),2007年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,116.56,680,58340,中层(共14层),2008年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南,2室2厅1卫,87.59,550,62793,高层(共17层),2012年建造,九亭,沪亭北路338弄
合景天悦,松江区,南北,4室2厅2卫,121.58,675,55519,高层(共6层),2019年建造,松江大学城,龙马路433弄
绿地蔷薇九里(别墅),松江区,南北,3室2厅3卫,128.93,768,59568,共5层,2011年建造,松江大学城,广富林路1518弄
绿地蔷薇九里(别墅),松江区,南北,3室2厅3卫,96,650,67709,共3层,2010年建造,松江大学城,广富林路1518弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,132.43,690,52103,高层(共14层),2008年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,87.59,499,56970,中层(共16层),2012年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,89.17,588,65942,高层(共17层),2012年建造,九亭,沪亭北路338弄
象屿名城,松江区,南,3室2厅1卫,87.35,428,48999,高层(共14层),2011年建造,九亭,伴亭路888弄1-32号
建发玖珑湾,松江区,南北,3室2厅1卫,93.71,540,57625,高层(共16层),2016年建造,泗泾,外婆泾路299弄
合景天悦,松江区,南北,3室2厅2卫,91.59,520,56775,中层(共13层),2020年建造,松江大学城,龙马路433弄
绿地蔷薇九里(别墅),松江区,南北,4室2厅2卫,96.48,760,78773,共3层,2010年建造,松江大学城,广富林路1518弄
信达蓝爵,松江区,南,3室2厅2卫,126.12,750,59468,中层(共18层),2015年建造,松江大学城,淡家浜街99弄
三湘四季花城(二三四期),松江区,南,3室2厅1卫,105.33,580,55066,低层(共14层),2006年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,87.59,448,51148,低层(共14层),2012年建造,九亭,沪亭北路338弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,122.68,505,41165,中层(共14层),2008年建造,松江大学城,广富林路1599弄
信达蓝爵,松江区,南,3室2厅2卫,134.5,730,54276,中层(共22层),2015年建造,松江大学城,淡家浜街99弄
保利西子湾,松江区,南,3室2厅1卫,112.72,650,57666,高层(共14层),2010年建造,松江大学城,广富林路1188弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,86.7,495,57094,低层(共16层),2015年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,113.94,651,57136,高层(共17层),2011年建造,九亭,沪亭北路338弄
嘉和阳光城,松江区,南,2室2厅1卫,109.63,518,47250,高层(共14层),2006年建造,九亭,九新公路58弄
绿地蔷薇九里(别墅),松江区,南北,3室2厅2卫,80,742,92750,共3层,2010年建造,松江大学城,广富林路1518弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,87.01,520,59764,中层(共14层),2009年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,118.88,655,55098,低层(共17层),2013年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,95.47,488,51116,低层(共14层),2012年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南,3室2厅1卫,128.83,960,74517,中层(共16层),2012年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,143.05,950,66411,低层(共16层),2008年建造,九亭,沪亭北路338弄
象屿虹桥悦府,松江区,南,3室2厅2卫,96.21,528,54880,中层(共14层),2019年建造,九亭,伴亭路855弄
三湘四季花城(一期),松江区,南,3室2厅1卫,124.56,688,55235,高层(共14层),2006年建造,松江大学城,梅家浜路1508弄
新凯家园(一期),松江区,南,3室2厅1卫,93.18,312,33484,低层(共6层),2006年建造,泗泾,古楼公路1858弄
保利西子湾,松江区,南,3室2厅1卫,112.94,658,58262,低层(共14层),2009年建造,松江大学城,广富林路1188弄
绿地蔷薇九里(别墅),松江区,南北,4室2厅2卫,131,770,58779,共3层,2010年建造,松江大学城,广富林路1518弄
保利西子湾,松江区,南北,3室2厅2卫,137.54,778,56566,高层(共14层),2010年建造,松江大学城,广富林路1188弄
合景天悦,松江区,南,3室2厅1卫,99,498,50304,高层(共13层),2019年建造,松江大学城,龙马路433弄
复地九月,松江区,南,3室2厅2卫,122.94,688,55963,高层(共14层),2021年建造,九亭,九新公路218弄
绿庭尚城,松江区,南,3室2厅1卫,88.72,538,60641,中层(共22层),2008年建造,九亭,涞寅路658弄
保利西子湾,松江区,南,3室2厅2卫,137.54,800,58165,低层(共14层),2011年建造,松江大学城,广富林路1188弄
合景天悦,松江区,南北,3室2厅2卫,101.5,592,58326,中层(共14层),2019年建造,松江大学城,龙马路433弄
保利翡丽公馆,松江区,南北,4室2厅2卫,135.73,860,63362,高层(共18层),2016年建造,泗泾,外婆泾路288弄
上坤红树湾,松江区,南北,3室2厅1卫,85.75,395,46065,低层(共14层),2016年建造,松江大学城,光星路1855弄
上海奥林匹克花园(南区),松江区,南,2室2厅2卫,89.48,415,46380,共4层,2002年建造,九亭,涞亭北路99弄
9号公馆(泗通路),松江区,南北,3室2厅2卫,96.73,499,51587,低层(共10层),2022年建造,泗泾,泗通路600弄
三湘四季花城(二三四期),松江区,南北,3室2厅1卫,106.97,640,59830,高层(共18层),2016年建造,松江大学城,广富林路1599弄
摩卡小城开心公寓,松江区,南,2室2厅1卫,90.48,449,49625,高层(共14层),2010年建造,九亭,九杜路505弄
象屿虹桥悦府,松江区,南,3室2厅2卫,93.09,531,57042,低层(共18层),2019年建造,九亭,伴亭路855弄
绿地蔷薇九里(公寓住宅),松江区,南,3室2厅2卫,112.69,535,47476,低层(共11层),2011年建造,松江大学城,广富林路1518弄
金地玺悦,松江区,南北,4室2厅2卫,133.45,718,53803,低层(共18层),2018年建造,泗泾,"泗通路66弄1-10号,泗通路88弄1-6号"
五洲云景花苑,松江区,南北,2室2厅1卫,98.01,418,42649,中层(共10层),2007年建造,九亭,涞坊路599弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,85.65,448,52306,高层(共14层),2015年建造,九亭,沪亭北路338弄
合景天悦,松江区,南北,3室2厅2卫,102.59,588,57316,中层(共13层),2020年建造,松江大学城,龙马路433弄
合景天悦,松江区,南北,3室2厅2卫,101.5,568,55961,高层(共14层),2019年建造,松江大学城,龙马路433弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,138.84,645,46457,中层(共14层),2008年建造,松江大学城,广富林路1599弄
新凯家园(一期),松江区,南,3室1厅1卫,81.84,245,29937,中层(共11层),2006年建造,泗泾,古楼公路1858弄
绿地蔷薇九里(公寓住宅),松江区,南,3室2厅2卫,129.48,760,58697,低层(共11层),2011年建造,松江大学城,广富林路1518弄
三湘四季花城(二三四期),松江区,南,4室2厅2卫,143.66,818,56940,中层(共18层),2009年建造,松江大学城,广富林路1599弄
建发玖珑湾,松江区,南北,4室2厅2卫,88.5,528,59662,高层(共8层),2017年建造,泗泾,外婆泾路299弄
信达蓝爵,松江区,南北,3室2厅2卫,126,750,59524,中层(共19层),2015年建造,松江大学城,淡家浜街99弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,93.55,500,53448,中层(共14层),2015年建造,九亭,沪亭北路338弄
融创壹号公馆,松江区,南北,3室2厅2卫,93.6,570,60898,高层(共14层),2019年建造,泗泾,恒泽路188弄
泗水和鸣苑,松江区,南北,3室2厅2卫,97.61,550,56347,高层(共14层),2021年建造,泗泾,恒泽路58弄
泗水和鸣苑,松江区,南北,3室2厅1卫,87.94,410,46623,中层(共11层),2022年建造,泗泾,恒泽路58弄
信达蓝爵,松江区,南北,3室2厅2卫,126.1,740,58684,中层(共19层),2015年建造,松江大学城,淡家浜街99弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,94.2,518,54990,中层(共14层),2012年建造,九亭,沪亭北路338弄
保利西子湾,松江区,南,4室2厅2卫,140.56,789,56133,高层(共18层),2010年建造,松江大学城,广富林路1188弄
合景天悦,松江区,南北,3室2厅2卫,102.51,588,57361,低层(共13层),2019年建造,松江大学城,龙马路433弄
绿地蔷薇九里(别墅),松江区,南北,4室2厅3卫,132.75,798,60113,共3层,2010年建造,松江大学城,广富林路1518弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,84.52,495,58567,低层(共11层),2010年建造,九亭,沪亭北路338弄
合景天悦,松江区,南北,3室2厅2卫,100.01,580,57995,高层(共13层),2019年建造,松江大学城,龙马路433弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,132.43,580,43797,中层(共15层),2006年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,95.14,510,53606,中层(共14层),2008年建造,九亭,沪亭北路338弄
五洲云景花苑,松江区,南北,3室2厅2卫,136.05,550,40427,中层(共10层),2010年建造,九亭,涞坊路599弄
泗水和鸣苑,松江区,南北,4室2厅2卫,97.61,545,55835,中层(共8层),2020年建造,泗泾,恒泽路58弄
新城上坤樾山璟里(公寓住宅),松江区,南,3室2厅2卫,90.66,415,45776,高层(共14层),2019年建造,泗泾,洞塔路500弄
贝尚湾(公寓住宅),松江区,西,2室2厅1卫,85.65,580,67718,低层(共16层),2012年建造,九亭,沪亭北路338弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,136.66,658,48149,高层(共14层),2008年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,103.07,598,58019,中层(共15层),2012年建造,九亭,沪亭北路338弄
保利西子湾,松江区,南北,3室2厅1卫,111.54,620,55586,低层(共14层),2010年建造,松江大学城,广富林路1188弄
绿地蔷薇九里(别墅),松江区,南北,4室2厅3卫,131,708,54046,共3层,2010年建造,松江大学城,广富林路1518弄
江南文化园,松江区,南北,5室2厅3卫,225.49,1250,55435,共3层,2003年建造,九亭,涞亭南路558弄1-500号
绿庭尚城,松江区,南北,4室2厅2卫,132.03,800,60593,高层(共14层),2013年建造,九亭,涞寅路658弄
金地玺湾,松江区,南北,3室2厅1卫,89.82,528,58785,中层(共18层),2018年建造,泗泾,泗宝路458弄
御上海,松江区,南,2室2厅2卫,99,560,56566,中层(共18层),2000年建造,松江大学城,谷阳北路2399弄
九城湖滨,松江区,南北,3室2厅1卫,101.19,560,55342,中层(共16层),2009年建造,九亭,沪亭北路618弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,132.96,949,71375,中层(共13层),2016年建造,九亭,沪亭北路338弄
保利西子湾,松江区,南北,3室2厅2卫,125.45,718,57234,低层(共14层),2010年建造,松江大学城,广富林路1188弄
上海奥林匹克花园(南区),松江区,南北,3室2厅2卫,120.13,575,47865,共5层,2008年建造,九亭,涞亭北路99弄
象屿虹桥悦府,松江区,南北,3室2厅2卫,95.87,513,53510,低层(共18层),2019年建造,九亭,伴亭路855弄
合景天悦,松江区,南北,3室2厅2卫,101.5,580,57143,低层(共14层),2019年建造,松江大学城,龙马路433弄
绿庭尚城,松江区,南北,3室2厅2卫,121,605,50000,中层(共14层),2011年建造,九亭,涞寅路658弄
九城湖滨,松江区,南北,2室2厅1卫,94.43,460,48714,中层(共14层),2008年建造,九亭,沪亭北路618弄
御上海,松江区,南,3室2厅2卫,132.44,760,57385,高层(共18层),2009年建造,松江大学城,谷阳北路2399弄
贝尚湾(公寓住宅),松江区,南北,2室2厅1卫,92.4,455,49243,中层(共19层),2008年建造,九亭,沪亭北路338弄
象屿虹桥悦府,松江区,南北,3室2厅2卫,94.06,560,59537,中层(共18层),2019年建造,九亭,伴亭路855弄
绿庭尚城,松江区,南,3室2厅1卫,88.99,530,59558,高层(共14层),2008年建造,九亭,涞寅路658弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,136.97,700,51107,低层(共14层),2010年建造,松江大学城,广富林路1599弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,136.44,698,51159,高层(共14层),2008年建造,松江大学城,广富林路1599弄
象屿虹桥悦府,松江区,南北,3室2厅2卫,93.07,558,59955,高层(共18层),2019年建造,九亭,伴亭路855弄
九城湖滨,松江区,南北,2室2厅1卫,95.13,538,56555,中层(共14层),2007年建造,九亭,沪亭北路618弄
绿地蔷薇九里(公寓住宅),松江区,南北,3室2厅1卫,91.25,419,45918,中层(共11层),2011年建造,松江大学城,广富林路1518弄
象屿虹桥悦府,松江区,南,3室2厅2卫,94.06,518,55072,低层(共18层),2019年建造,九亭,伴亭路855弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,120.79,660,54641,中层(共18层),2010年建造,松江大学城,广富林路1599弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,124.36,658,52911,高层(共18层),2010年建造,松江大学城,广富林路1599弄
三湘四季花城(二三四期),松江区,南北,3室2厅1卫,105.37,568,53906,低层(共14层),2008年建造,松江大学城,广富林路1599弄
金丰蓝庭(一期),松江区,南北,3室2厅2卫,123.94,535,43167,中层(共11层),2006年建造,九亭,沪亭北路1080弄
信达蓝爵,松江区,南北,3室2厅1卫,81.73,418,51145,中层(共17层),2015年建造,松江大学城,淡家浜街99弄
三湘四季花城(二三四期),松江区,南北,3室2厅2卫,134.4,670,49852,高层(共18层),2010年建造,松江大学城,广富林路1599弄
绿庭尚城,松江区,南,3室2厅1卫,88.65,430,48506,高层(共24层),2013年建造,九亭,涞寅路658弄
三湘四季花城(二三四期),松江区,南,3室2厅2卫,136.66,650,47564,中层(共14层),2009年建造,松江大学城,广富林路1599弄
贝尚湾(公寓住宅),松江区,南北,3室2厅2卫,117.53,720,61261,高层(共16层),2009年建造,九亭,沪亭北路338弄
贝尚湾(公寓住宅),松江区,南北,3室2厅1卫,108.85,720,66147,中层(共16层),2008年建造,九亭,沪亭北路338弄
泗水和鸣苑,松江区,南,3室2厅2卫,98.49,542,55031,高层(共14层),2020年建造,泗泾,恒泽路58弄
保利西子湾,松江区,南北,3室2厅2卫,137.54,699,50822,低层(共18层),2010年建造,松江大学城,广富林路1188弄
光明云庐,松江区,南北,4室2厅3卫,135.28,780,57659,共3层,2021年建造,洞泾,陆家圈路63弄
九城湖滨,松江区,南,3室2厅2卫,122.22,690,56456,中层(共14层),2007年建造,九亭,沪亭北路618弄
